DIMENSION_MACRO,IES ANONIMIZADA,SUBDIMENSIÓN,VARIABLE,INDICADOR,RESULTADO
Participación,UNIVERSIDAD 1,PARTICIPACIÓN INFORMATIVA,PARTICIPACIÓN EN EVENTOS INFORMATIVOS,PARTICIPACIÓN EN EVENTOS INFORMATIVOS,87.5
Transf. Digital,UNIVERSIDAD 1,TRANSFORMACIÓN DIGITAL,DATOS ABIERTOS E INTEROPERABILIDAD,CALIDAD DE DATOS ABIERTOS (BASADO EN EL MODELO DE 5 ESTRELLAS DE TIM BERNERS-LEE).,50.0
Transf. Digital,UNIVERSIDAD 1,TRANSFORMACIÓN DIGITAL,ESTRATEGIA INSTITUCIONAL DE INNOVACIÓN Y / O TD,NIVEL DE MADUREZ DE LA ESTRATEGIA DE TRANSFORMACIÓN DIGITAL,75.0
Transf. Digital,UNIVERSIDAD 1,TRANSFORMACIÓN DIGITAL,INNOVACIÓN EN SERVICIOS ACADÉMICOS,DIGITALIZACIÓN DE SERVICIOS ACADÉMICOS DE EXTREMO A EXTREMO.,91.67
Transf. Digital,UNIVERSIDAD 1,TRANSFORMACIÓN DIGITAL,MECANISMOS PARA EVALUACIÓN DE IMPACTO DE LA INNOVACIÓN,ÍNDICE DE EFECTIVIDAD Y RETORNO DE VALOR DE LA INNOVACIÓN (IEVI).,75.0
Transf. Digital,UNIVERSIDAD 1,TRANSFORMACIÓN DIGITAL,USO DE TI PARA TRANSPARENCIA Y ACCESO A INFORMACIÓN,USABILIDAD TECNOLÓGICA PARA LA TRANSPARENCIA (IUTT),62.5
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA ACTIVA,ACCESIBILIDAD DEL PORTAL DE TRANSPARENCIA,EXISTENCIA DEL PORTAL,100.0
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA ACTIVA,ACTUALIZACIÓN DE LA INFORMACIÓN,INFORMACIÓN ACTUALIZADA EN BASE A NORMATIVA,87.5
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA ACTIVA,COMPLETITUD DE LA INFORMACIÓN,ÍTEMS PUBLICADOS SON LOS EXIGIDOS POR NORMATIVA,100.0
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA ACTIVA,PUBLICACIÓN DE INFORMACIÓN FINANCIERA Y PRESUPUESTARIA,"PUBLICACIÓN DE INFORMACIÓN FINANCIERA Y PRESUPUESTARIA, CALIDAD Y CLARIDAD DE DATOS FINANCIEROS",100.0
Transparencia,UNIVERSIDAD 1,TRANSPARENCIA ACTIVA,USABILIDAD DEL PORTAL,PUBLICACIÓN DE INFORMACIÓN EN FORMATO DE DATOS ABIERTOS,100.0
